Image Name,Healthy (true/false),How Healthy? (1-10),Lighting Conditions (sun/partial/shade),
grass (1).jpg,TRUE,8,sun,
grass (2).jpg,TRUE,7,sun,
grass (3).jpg,TRUE,6,sun,
grass (4).jpg,TRUE,5,sun,
grass (5).jpg,TRUE,5,sun,
grass (6).jpg,TRUE,6,sun,
grass (7).jpg,TRUE,7,partial,
grass (8).jpg,TRUE,6,partial,
grass (9).jpg,TRUE,7,sun,
grass (10).jpg,TRUE,8,partial,
grass (11).jpg,TRUE,7,sun,
grass (12).jpg,TRUE,6,partial,
grass (13).jpg,TRUE,6,partial,
grass (14).jpg,TRUE,5,partial,
grass (15).jpg,TRUE,9,sun,
grass (16).jpg,TRUE,7,shade,
grass (17).jpg,TRUE,6,partial,
grass (18).jpg,TRUE,6,partial,
grass (19).jpg,TRUE,7,shade,
grass (20).jpg,TRUE,8,shade,
grass (21).jpg,TRUE,7,partial,
grass (22).jpg,TRUE,6,partial,
grass (23).jpg,TRUE,7,sun,
grass (24).jpg,TRUE,6,sun,
grass (25).jpg,TRUE,5,sun,
grass (26).jpg,FALSE,4,partial,
grass (27).jpg,FALSE,4,partial,
grass (28).jpg,FALSE,4,partial,
grass (29).jpg,TRUE,5,shade,
grass (30).jpg,TRUE,5,shade,
grass (31).jpg,TRUE,6,partial,
grass (32).jpg,TRUE,6,partial,
grass (33).jpg,TRUE,6,partial,
grass (34).jpg,FALSE,4,shade,
grass (35).jpg,FALSE,4,shade,
grass (36).jpg,TRUE,7,shade,
grass (37).jpg,TRUE,7,partial,
grass (38).jpg,TRUE,6,sun,
grass (39).jpg,TRUE,6,sun,
grass (40).jpg,TRUE,7,sun,
grass (41).jpg,TRUE,5,sun,
grass (42).jpg,TRUE,5,sun,
grass (43).jpg,TRUE,5,sun,
grass (44).jpg,FALSE,4,sun,
grass (45).jpg,FALSE,2,sun,
grass (46).jpg,FALSE,2,sun,
grass (47).jpg,FALSE,3,partial,
grass (48).jpg,FALSE,4,partial,
grass (49).jpg,FALSE,3,sun,
grass (50).jpg,FALSE,4,sun,
grass (51).jpg,FALSE,4,sun,
grass (52).jpg,FALSE,4,sun,
grass (53).jpg,FALSE,4,sun,
grass (54).jpg,TRUE,5,sun,
grass (55).jpg,TRUE,6,sun,
grass (56).jpg,TRUE,5,sun,
grass (57).jpg,FALSE,3,sun,
grass (58).jpg,FALSE,4,sun,
grass (59).jpg,TRUE,5,sun,
grass (60).jpg,TRUE,6,sun,
grass (61).jpg,TRUE,5,partial,
grass (62).jpg,TRUE,6,sun,
grass (63).jpg,TRUE,7,shade,
grass (64).jpg,TRUE,5,shade,
grass (65).jpg,TRUE,5,shade,
grass (66).jpg,TRUE,5,shade,
grass (67).jpg,TRUE,5,shade,
grass (68).jpg,TRUE,6,partial,
grass (69).jpg,TRUE,5,partial,
grass (70).jpg,TRUE,5,shade,
grass (71).jpg,TRUE,5,shade,
grass (72).jpg,FALSE,3,shade,
grass (73).jpg,TRUE,5,shade,
grass (74).jpg,TRUE,5,shade,
grass (75).jpg,FALSE,4,shade,
grass (76).jpg,TRUE,5,shade,
grass (77).jpg,FALSE,3,shade,
grass (78).jpg,FALSE,2,shade,
grass (79).jpg,FALSE,2,shade,
grass (80).jpg,TRUE,5,shade,
grass (81).jpg,TRUE,5,shade,
grass (82).jpg,TRUE,5,partial,
grass (83).jpg,FALSE,3,partial,
grass (84).jpg,TRUE,5,sun,
grass (85).jpg,FALSE,4,sun ,
grass (86).jpg,FALSE,4,sun,
grass (87).jpg,FALSE,4,sun,
grass (88).jpg,FALSE,5,sun,
grass (89).jpg,TRUE,5,sun,
grass (90).jpg,TRUE,6,partial,
grass (91).jpg,TRUE,6,sun,
grass (92).jpg,TRUE,5,sun,
grass (93).jpg,TRUE,5,partial,
grass (94).jpg,TRUE,5,sun,
grass (95).jpg,TRUE,6,sun,
grass (96).jpg,TRUE,7,sun,
grass (97).jpg,TRUE,8,sun,
grass (98).jpg,TRUE,7,sun,
grass (99).jpg,TRUE,5,sun,
grass (100).jpg,TRUE,5,sun,
grass (101).jpg,TRUE,5,sun,
grass (102).jpg,FALSE,4,sun,
grass (103).jpg,TRUE,6,shade,
grass (104).jpg,TRUE,7,partial,
grass (105).jpg,TRUE,5,partial,
grass (106).jpg,TRUE,5,partial,
grass (107).jpg,TRUE,5,partial,
grass (108).jpg,TRUE,7,sun,
grass (109).jpg,TRUE,5,partial,
grass (110).jpg,TRUE,6,partial,
grass (111).jpg,TRUE,6,partial,
grass (112).jpg,TRUE,6,partial,
grass (113).jpg,TRUE,6,sun,
grass (114).jpg,TRUE,7,sun,
grass (115).jpg,TRUE,5,sun,
grass (116).jpg,TRUE,6,shade,
grass (117).jpg,TRUE,6,sun,
grass (118).jpg,TRUE,7,sun,
grass (119).jpg,TRUE,5,sun,
grass (120).jpg,TRUE,7,partial,
grass (121).jpg,TRUE,8,partial,
grass (122).jpg,TRUE,7,partial,
grass (123).jpg,TRUE,6,partial,
grass (124).jpg,TRUE,5,partial,
grass (125).jpg,TRUE,6,shade,
grass (126).jpg,TRUE,6,partial,
grass (127).jpg,TRUE,7,partial,
grass (128).jpg,TRUE,8,partial,
grass (129).jpg,TRUE,7,shade,Check this one it looks blue
grass (130).jpg,TRUE,6,partial,
grass (131).jpg,TRUE,7,partial,
grass (132).jpg,TRUE,7,sun,
grass (133).jpg,TRUE,6,sun,
grass (134).jpg,TRUE,7,sun,
grass (135).jpg,TRUE,7,sun,
grass (136).jpg,TRUE,8,sun,
grass (137).jpg,TRUE,8,sun,
grass (138).jpg,TRUE,7,sun,
grass (139).jpg,TRUE,8,sun,
grass (140).jpg,TRUE,8,sun,
grass (141).jpg,TRUE,6,sun,
grass (142).jpg,TRUE,7,sun,
grass (143).jpg,TRUE,7,sun,
grass (144).jpg,TRUE,7,sun,
grass (145).jpg,TRUE,7,sun,
grass (146).jpg,TRUE,7,sun,
grass (147).jpg,TRUE,7,sun,
grass (148).jpg,TRUE,6,sun,
grass (149).jpg,TRUE,8,sun,
grass (150).jpg,TRUE,7,sun,
grass (151).jpg,TRUE,6,sun,
grass (152).jpg,TRUE,5,partial,
grass (153).jpg,TRUE,6,sun,
grass (154).jpg,TRUE,7,sun,
grass (155).jpg,TRUE,7,sun,
